image_path,x,y,w,h
C1/1-1-3-submit-00000/030.png,633,162,468,468
C1/1-1-3-submit-00000/012.png,632,170,468,468
C1/1-1-3-submit-00000/144.png,629,171,461,461
C1/1-1-3-submit-00000/036.png,629,161,472,472
C1/1-1-3-submit-00000/054.png,637,145,472,472
C1/1-1-3-submit-00000/072.png,635,162,468,468
C1/1-1-3-submit-00000/102.png,641,157,457,457
C1/1-1-3-submit-00000/060.png,638,155,458,458
C1/1-1-3-submit-00000/132.png,620,169,470,470
C1/1-1-3-submit-00000/084.png,630,154,483,483
C1/1-1-3-submit-00000/024.png,638,171,448,448
C1/1-1-3-submit-00000/138.png,620,174,462,462
C1/1-1-3-submit-00000/048.png,637,146,468,468
C1/1-1-3-submit-00000/090.png,637,163,458,458
C1/1-1-3-submit-00000/006.png,625,163,480,480
C1/1-1-3-submit-00000/078.png,632,159,475,475
C1/1-1-3-submit-00000/000.png,622,162,483,483
C1/1-1-3-submit-00000/120.png,636,163,469,469
C1/1-1-3-submit-00000/018.png,628,169,464,464
C1/1-1-3-submit-00000/066.png,632,161,469,469
C1/1-1-3-submit-00000/096.png,642,162,448,448
C1/1-1-3-submit-00000/114.png,637,161,468,468
C1/1-1-3-submit-00000/126.png,628,165,464,464
C1/1-1-3-submit-00000/042.png,639,158,458,458
C1/1-1-3-submit-00000/108.png,632,161,472,472
C1/1-1-3-submit-73549/030.png,642,158,453,453
C1/1-1-3-submit-73549/012.png,633,162,467,467
C1/1-1-3-submit-73549/036.png,640,154,459,459
C1/1-1-3-submit-73549/054.png,636,152,467,467
C1/1-1-3-submit-73549/072.png,642,155,466,466
C1/1-1-3-submit-73549/102.png,637,160,463,463
C1/1-1-3-submit-73549/060.png,643,161,449,449
C1/1-1-3-submit-73549/084.png,644,149,460,460
C1/1-1-3-submit-73549/024.png,632,156,467,467
C1/1-1-3-submit-73549/048.png,642,147,462,462
C1/1-1-3-submit-73549/090.png,648,161,452,452
C1/1-1-3-submit-73549/006.png,635,163,466,466
C1/1-1-3-submit-73549/078.png,637,153,465,465
C1/1-1-3-submit-73549/000.png,634,164,466,466
C1/1-1-3-submit-73549/120.png,630,169,460,460
C1/1-1-3-submit-73549/018.png,631,165,467,467
C1/1-1-3-submit-73549/066.png,643,156,460,460
C1/1-1-3-submit-73549/096.png,636,157,471,471
C1/1-1-3-submit-73549/114.png,629,166,451,451
C1/1-1-3-submit-73549/126.png,642,168,455,455
C1/1-1-3-submit-73549/042.png,644,146,459,459
C1/1-1-3-submit-73549/108.png,631,162,460,460
C1/1-1-3-submit-74734/030.png,630,153,474,474
C1/1-1-3-submit-74734/012.png,621,157,486,486
C1/1-1-3-submit-74734/144.png,626,161,470,470
C1/1-1-3-submit-74734/036.png,628,156,474,474
C1/1-1-3-submit-74734/054.png,636,143,472,472
C1/1-1-3-submit-74734/072.png,632,156,470,470
C1/1-1-3-submit-74734/102.png,644,148,459,459
C1/1-1-3-submit-74734/060.png,634,152,462,462
C1/1-1-3-submit-74734/132.png,618,162,469,469
C1/1-1-3-submit-74734/084.png,630,151,482,482
C1/1-1-3-submit-74734/024.png,623,160,480,480
C1/1-1-3-submit-74734/138.png,617,164,471,471
C1/1-1-3-submit-74734/048.png,643,146,463,463
C1/1-1-3-submit-74734/090.png,632,152,471,471
C1/1-1-3-submit-74734/006.png,618,153,490,490
C1/1-1-3-submit-74734/078.png,641,159,464,464
C1/1-1-3-submit-74734/000.png,623,164,480,480
C1/1-1-3-submit-74734/120.png,628,153,483,483
C1/1-1-3-submit-74734/018.png,616,155,493,493
C1/1-1-3-submit-74734/066.png,633,151,469,469
C1/1-1-3-submit-74734/096.png,629,148,474,474
C1/1-1-3-submit-74734/114.png,630,147,484,484
C1/1-1-3-submit-74734/126.png,628,160,465,465
C1/1-1-3-submit-74734/042.png,632,144,475,475
C1/1-1-3-submit-74734/108.png,634,157,473,473
C1/1-1-3-submit-74766/030.png,640,161,458,458
C1/1-1-3-submit-74766/012.png,629,162,472,472
C1/1-1-3-submit-74766/144.png,630,163,459,459
C1/1-1-3-submit-74766/036.png,641,163,454,454
C1/1-1-3-submit-74766/054.png,645,148,459,459
C1/1-1-3-submit-74766/072.png,639,160,453,453
C1/1-1-3-submit-74766/102.png,652,154,447,447
C1/1-1-3-submit-74766/060.png,646,158,449,449
C1/1-1-3-submit-74766/132.png,627,164,450,450
C1/1-1-3-submit-74766/084.png,652,168,445,445
